project,document,current_statement,impact_area,likely_phase,risk,notes
full-stack-fastapi-template,THIRD_PARTY_NOTICES.md,"Selected M0 files copied from fixed upstream commit with MIT attribution",ENGINEERING_FOUNDATION,0,LOW,"Already incorporated; research should verify upgrade and provenance rather than re-decide presence"
openai-agents-python,docs/ARCHITECTURE.md,"OpenAI Agents SDK is PLANNED_M8",AGENT_TOOL_SCHEMA,1,HIGH,"No package boundary; version; license record; Tool mapping; or degradation decision"
grobid,docs/ARCHITECTURE.md,"GROBID is the primary parser but M0 is healthcheck only",PDF_DATA_FLOW,1,HIGH,"Do not describe parsing as implemented"
grobid-client-python,none,"No current RECA statement",PDF_ADAPTER,1,HIGH,"Compare client library with a small RECA-owned HTTP boundary"
pyalex,docs/roadmap/milestones/M2_RESEARCH_AND_LITERATURE.md,"OpenAlex/PyAlex planned behind literature-source integration",LITERATURE_API,1,HIGH,"May affect adapter DTO mapping but must not rename current API paths"
pdf.js,docs/architecture/SYSTEM_COMPONENTS_AND_MODULES.md,"Browser rendering and highlighting only; not EvidenceSpan truth",FRONTEND_EVIDENCE,1,HIGH,"Coordinates must remain subordinate to backend EvidenceSpan semantics"
paper-qa,docs/architecture/OPERATIONS_DEPLOYMENT_AND_ADRS.md,"DEC-006 rejects wholesale runtime integration and permits retrieval-chain research",LITERATURE_AGENT,1,HIGH,"Effect-first policy warrants later re-evaluation; no Phase 0 change"
asreview,docs/product/LITERATURE_AND_EVIDENCE_REQUIREMENTS.md,"Active-learning screening exists only as a generic P1 capability",P1_REQUIREMENT,2,MEDIUM,"Repository is not named and must not be promoted to P0"
pandera,docs/ARCHITECTURE.md,"Pandera plus RECA rules planned for M4-M5",DATA_SCHEMA,2,HIGH,"Potential overlap with Great Expectations"
scipy,docs/ARCHITECTURE.md,"Deterministic statistics planned for M4-M5",ANALYSIS_ENGINE,2,HIGH,"Must preserve AnalysisRun and deterministic-result contracts"
statsmodels,docs/architecture/DATA_FLOWS_AND_ADAPTERS.md,"Third-party result objects convert into RECA analysis results",ANALYSIS_ENGINE,2,HIGH,"Direct library use is possible but third-party result objects cannot become domain models"
matplotlib,docs/roadmap/milestones/M5_ANALYSIS_AND_FIGURES.md,"Planned deterministic figure renderer with adapter wording",FIGURE_ENGINE,2,HIGH,"Review whether an adapter has measurable testing or isolation value"
python-docx,docs/ARCHITECTURE.md,"python-docx plus controlled OOXML planned for M6-M8",MANUSCRIPT_EXPORT,2,HIGH,"Must preserve immutable source DOCX and export lineage"
citation-style-language/styles,docs/product/MANUSCRIPT_AGENT_AND_EXPORT_REQUIREMENTS.md,"Complete CSL and multiple citation formats remain P1",P1_REQUIREMENT,2,MEDIUM,"Must not be promoted during integration research"
citeproc-js,none,"No current integration or isolation decision",CITATION_RUNTIME,2,HIGH,"License and JS runtime boundary require explicit research"
TanStack/table,frontend/package.json,"Dependency is present; literature-matrix feature remains planned",FRONTEND_TABLE,1,LOW,"Presence is not proof M3 workflow exists"
xyflow,docs/ARCHITECTURE.md,"React Flow planned for evidence-chain visualization",FRONTEND_GRAPH,2,MEDIUM,"Repository name differs from product label; confirm package and license"
pgvector,docker-compose.yml,"Server extension is present and M0 smoke-tested",VECTOR_STORAGE,0,LOW,"Must not be confused with completed semantic-search business flow"
pgvector-python,none,"No current integration decision",DATABASE_DRIVER,1,MEDIUM,"Decide whether SQLAlchemy/driver support adds value without changing domain schemas"
celery,docs/ARCHITECTURE.md,"Sole controlled worker runtime; only reca.health_ping exists in M0",ASYNC_JOBS,0,LOW,"Keep the unique Celery App and Job/ProcessingRun ownership"
valkey,docs/ARCHITECTURE.md,"Broker and cache foundation implemented in M0",ASYNC_CACHE,0,LOW,"No new runtime decision required in Phase 0"
dvc,none,"No current RECA statement",DATA_LINEAGE,2,HIGH,"Must not replace DatasetVersion; ArtifactRelation; ApprovalRecord; or RECA lineage"
great-expectations,none,"No current RECA statement",DATA_QUALITY,2,HIGH,"Using it with Pandera could create two validation sources of truth"
zotero,none,"No current RECA statement",REFERENCE_MANAGER,2,HIGH,"Fork/Vendor/source copy needs license-boundary review; no legal conclusion in Phase 0"
zotero-web-library,none,"No current RECA statement",FRONTEND_REFERENCE_UX,2,HIGH,"Source reuse and service integration are different decisions"
academic-research-skills-codex,docs/decisions/ADR-001-ARS-CODEX-USAGE.md,"Conditional licensed reuse allowed; actual mode remains RESEARCH_REFERENCE and no content copied",AGENT_WORKFLOW,1,HIGH,"Asset categories are mapped but no concrete copied paths or incorporation plan exists"
