project,observed_state,evidence,current_mode,runtime_present,notes
full-stack-fastapi-template,ACTUALLY_INCORPORATED,"fixed commit c9e70d65c74f7adda417fc8de0757207ff77514c; source record and preserved license",SELECTIVE_COPY,true,"M0 engineering foundation"
openai-agents-python,PLANNED_ONLY,"architecture stack row PLANNED_M8",DEFERRED,false,"No dependency or source incorporation"
grobid,INFRASTRUCTURE_PRESENT,"Compose image lfoppiano/grobid:0.8.2 and healthcheck evidence",INDEPENDENT_SERVICE,true,"Health/smoke only; no PDF business workflow"
grobid-client-python,ABSENT,"no tracked document or dependency mention",DEFERRED,false,"Research candidate"
pyalex,PLANNED_ONLY,"M2 and architecture references",ADAPTER_INTEGRATION,false,"OpenAlex metadata source not implemented"
pdf.js,PLANNED_ONLY,"M2-M3 architecture and frontend rules",DIRECT_DEPENDENCY,false,"No package presence found"
paper-qa,REFERENCE_ONLY,"DEC-006 and architecture research language",DESIGN_REFERENCE,false,"Not a full runtime dependency"
asreview,P1_CONCEPT_ONLY,"active learning exists generically in P1; project absent",DEFERRED,false,"No project decision"
pandera,PLANNED_ONLY,"PLANNED_M4_M5 architecture row",DIRECT_DEPENDENCY,false,"No dependency presence found"
scipy,PLANNED_ONLY,"PLANNED_M4_M5 architecture row",DIRECT_DEPENDENCY,false,"No dependency presence found"
statsmodels,PLANNED_ONLY,"PLANNED_M4_M5 architecture row",DIRECT_DEPENDENCY,false,"No dependency presence found"
matplotlib,PLANNED_ONLY,"PLANNED_M4_M5 architecture row",ADAPTER_INTEGRATION,false,"No dependency presence found"
python-docx,PLANNED_ONLY,"PLANNED_M6_M8 architecture row",DIRECT_DEPENDENCY,false,"No dependency presence found"
citation-style-language/styles,P1_ONLY,"complete CSL explicitly scoped to P1",DEFERRED,false,"No repository incorporation"
citeproc-js,ABSENT,"no tracked document or dependency mention",DEFERRED,false,"Isolation decision missing"
TanStack/table,DEPENDENCY_PRESENT_FEATURE_PLANNED,"@tanstack/react-table 8.21.3 in package and lock files",DIRECT_DEPENDENCY,true,"M3 literature matrix not implemented"
xyflow,PLANNED_ONLY,"React Flow planned in architecture and roadmap",DIRECT_DEPENDENCY,false,"No dependency presence found"
pgvector,INFRASTRUCTURE_PRESENT,"pgvector/pgvector:0.8.2-pg17 and extension smoke",INDEPENDENT_SERVICE,true,"No completed research-vector workflow"
pgvector-python,ABSENT,"no tracked document or dependency mention",DEFERRED,false,"Research candidate"
celery,ACTUALLY_INTEGRATED,"celery[redis] 5.5.3 and unique app.core.celery:celery_app",DIRECT_DEPENDENCY,true,"M0 task limited to reca.health_ping"
valkey,INFRASTRUCTURE_PRESENT,"valkey/valkey:8.1.7-alpine Compose service",INDEPENDENT_SERVICE,true,"Broker/cache foundation"
dvc,ABSENT,"no tracked document or dependency mention",DEFERRED,false,"Must not displace RECA lineage model"
great-expectations,ABSENT,"no tracked document or dependency mention",DEFERRED,false,"Potential duplicate with Pandera"
zotero,ABSENT,"no tracked document or dependency mention",DEFERRED,false,"License review required before any reuse"
zotero-web-library,ABSENT,"no tracked document or dependency mention",DEFERRED,false,"License and architecture review required"
academic-research-skills-codex,RESEARCH_REFERENCE_ONLY,"fixed commit f8d6b061efe98564a3f554c917fce66dcef6ca54; ADR-001; source record",DESIGN_REFERENCE,false,"No Prompt code script test Vendor Fork or Submodule copied"
